audit_id,supplier_id,audit_date,standard,clause,finding_type,severity,description,corrective_action_required,corrective_action_description,due_date,closure_date,status
AUD-00001,SPLR-095,8/17/2022,ISO 9001:2015,9.2,Non-conformance,Minor,Supplier evaluation process missing risk assessment steps.,Yes,Conduct training sessions and maintain attendance logs.,9/30/2022,9/28/2022,Closed
AUD-00002,SPLR-065,4/24/2025,IATF 16949,4.2,Non-conformance,Minor,Documented procedure not followed during batch production.,Yes,Update calibration records and schedule preventive calibration.,6/6/2025,6/10/2025,Open
AUD-00003,SPLR-098,1/21/2025,IATF 16949,6.2,Non-conformance,Major,Customer complaint process not well-defined in procedure.,Yes,Document action items and track their closure status.,3/9/2025,2/27/2025,Closed
AUD-00004,SPLR-049,11/28/2023,IATF 16949,5.2,Non-conformance,Major,Inadequate training records for new operators.,Yes,Develop and follow a strict maintenance timetable.,1/3/2024,12/29/2023,Closed
AUD-00005,SPLR-011,12/6/2023,IATF 16949,4.2,Observation,Major,Customer complaint process not well-defined in procedure.,Yes,Expand audit scope and ensure full coverage.,1/12/2024,1/26/2024,Closed
AUD-00006,SPLR-099,3/28/2025,ISO 9001:2015,9.2,Observation,Minor,Lack of evidence for calibration records of measuring equipment.,Yes,Revise and train staff on procedure adherence.,6/8/2025,6/12/2025,Open
AUD-00007,SPLR-021,4/22/2023,ISO 9001:2015,7.1,Observation,Major,Supplier evaluation process missing risk assessment steps.,Yes,Define and communicate complaint handling procedure.,7/1/2023,7/14/2023,Closed
AUD-00008,SPLR-069,3/6/2023,IATF 16949,10.3,Non-conformance,Minor,Lack of evidence for calibration records of measuring equipment.,Yes,Document action items and track their closure status.,5/15/2023,5/15/2023,Closed
AUD-00009,SPLR-099,8/4/2024,IATF 16949,6.3,Non-conformance,Minor,Internal audit scope does not cover all processes.,Yes,Conduct training sessions and maintain attendance logs.,10/16/2024,10/26/2024,Closed
AUD-00010,SPLR-092,3/7/2022,IATF 16949,8.1,Observation,Minor,Supplier evaluation process missing risk assessment steps.,Yes,Update calibration records and schedule preventive calibration.,4/19/2022,5/15/2022,Closed
AUD-00011,SPLR-032,10/19/2024,IATF 16949,10.3,Observation,Major,Customer complaint process not well-defined in procedure.,Yes,Implement formal non-conformance containment measures.,12/4/2024,12/2/2024,Closed
AUD-00012,SPLR-012,4/10/2025,IATF 16949,7.3,Non-conformance,Minor,Inadequate training records for new operators.,Yes,Implement formal non-conformance containment measures.,6/11/2025,7/2/2025,Open
AUD-00013,SPLR-049,11/10/2022,ISO 9001:2015,10.1,Observation,Major,Traceability records incomplete for critical components.,Yes,Document action items and track their closure status.,12/14/2022,12/28/2022,Closed
AUD-00014,SPLR-099,2/7/2025,ISO 9001:2015,9.1,Observation,Minor,Lack of evidence for calibration records of measuring equipment.,Yes,Expand audit scope and ensure full coverage.,4/26/2025,5/3/2025,Closed
AUD-00015,SPLR-065,8/25/2023,IATF 16949,5.3,Non-conformance,Minor,Customer complaint process not well-defined in procedure.,Yes,Revise and train staff on procedure adherence.,11/9/2023,11/15/2023,Closed
AUD-00016,SPLR-001,9/4/2023,ISO 9001:2015,5.1,Observation,Major,Preventive maintenance schedule not adhered to.,Yes,Implement formal non-conformance containment measures.,11/7/2023,11/30/2023,Closed
AUD-00017,SPLR-073,2/9/2022,ISO 9001:2015,6.2,Non-conformance,Minor,Supplier evaluation process missing risk assessment steps.,Yes,Conduct training sessions and maintain attendance logs.,3/14/2022,3/19/2022,Closed
AUD-00018,SPLR-071,9/22/2024,ISO 9001:2015,10.1,Non-conformance,Major,Internal audit scope does not cover all processes.,Yes,Implement formal non-conformance containment measures.,10/30/2024,11/19/2024,Closed
AUD-00019,SPLR-052,12/16/2024,IATF 16949,6.1,Observation,Major,Internal audit scope does not cover all processes.,Yes,Conduct training sessions and maintain attendance logs.,3/1/2025,3/10/2025,Closed
AUD-00020,SPLR-003,11/25/2024,IATF 16949,5.1,Non-conformance,Minor,Inadequate training records for new operators.,Yes,Conduct training sessions and maintain attendance logs.,12/29/2024,1/9/2025,Closed
AUD-00021,SPLR-043,1/15/2022,ISO 9001:2015,9.2,Non-conformance,Minor,Documented procedure not followed during batch production.,Yes,Conduct training sessions and maintain attendance logs.,2/18/2022,2/10/2022,Closed
AUD-00022,SPLR-074,7/25/2023,IATF 16949,6.1,Observation,Minor,Internal audit scope does not cover all processes.,Yes,Implement formal non-conformance containment measures.,10/9/2023,11/4/2023,Closed
AUD-00023,SPLR-046,8/26/2024,IATF 16949,6.1,Observation,Major,Lack of evidence for calibration records of measuring equipment.,Yes,Update calibration records and schedule preventive calibration.,11/6/2024,11/23/2024,Closed
AUD-00024,SPLR-014,8/14/2024,ISO 9001:2015,9.1,Non-conformance,Minor,Lack of evidence for calibration records of measuring equipment.,Yes,Revise and train staff on procedure adherence.,10/8/2024,10/19/2024,Closed
AUD-00025,SPLR-032,1/25/2023,IATF 16949,5.2,Non-conformance,Major,Traceability records incomplete for critical components.,Yes,Implement formal non-conformance containment measures.,3/13/2023,4/1/2023,Closed
AUD-00026,SPLR-022,2/1/2025,ISO 9001:2015,4.1,Observation,Major,Internal audit scope does not cover all processes.,Yes,Revise and train staff on procedure adherence.,3/8/2025,3/13/2025,Closed
AUD-00027,SPLR-001,9/12/2024,ISO 9001:2015,10.2,Observation,Major,Traceability records incomplete for critical components.,Yes,Revise and train staff on procedure adherence.,10/22/2024,11/5/2024,Closed
AUD-00028,SPLR-038,7/20/2024,IATF 16949,8.2,Non-conformance,Minor,Internal audit scope does not cover all processes.,Yes,Define and communicate complaint handling procedure.,8/28/2024,8/30/2024,Closed
AUD-00029,SPLR-062,4/1/2025,ISO 9001:2015,9.2,Non-conformance,Minor,Preventive maintenance schedule not adhered to.,Yes,Revise and train staff on procedure adherence.,5/4/2025,5/31/2025,Open
AUD-00030,SPLR-087,11/6/2024,ISO 9001:2015,10.2,Non-conformance,Major,Control of non-conforming product is not effectively implemented.,Yes,Update calibration records and schedule preventive calibration.,1/13/2025,1/7/2025,Closed
AUD-00031,SPLR-054,9/3/2022,ISO 9001:2015,8.2,Observation,Major,Management review records lack evidence of action tracking.,Yes,Revise and train staff on procedure adherence.,11/11/2022,11/6/2022,Closed
AUD-00032,SPLR-059,2/23/2023,IATF 16949,6.2,Observation,Minor,Supplier evaluation process missing risk assessment steps.,Yes,Enhance traceability documentation for all lot numbers.,4/2/2023,4/11/2023,Closed
AUD-00033,SPLR-028,1/20/2022,IATF 16949,10.2,Observation,Minor,Management review records lack evidence of action tracking.,Yes,Update calibration records and schedule preventive calibration.,2/23/2022,3/19/2022,Closed
AUD-00034,SPLR-070,12/16/2023,ISO 9001:2015,5.2,Observation,Minor,Preventive maintenance schedule not adhered to.,Yes,Integrate risk assessment into supplier evaluation template.,1/25/2024,2/12/2024,Closed
AUD-00035,SPLR-096,2/9/2025,IATF 16949,5.1,Non-conformance,Major,Control of non-conforming product is not effectively implemented.,Yes,Integrate risk assessment into supplier evaluation template.,3/18/2025,3/14/2025,Closed
AUD-00036,SPLR-034,8/1/2023,ISO 9001:2015,9.2,Observation,Major,Preventive maintenance schedule not adhered to.,Yes,Conduct training sessions and maintain attendance logs.,10/13/2023,11/12/2023,Closed
AUD-00037,SPLR-043,4/15/2022,ISO 9001:2015,9.1,Non-conformance,Major,Traceability records incomplete for critical components.,Yes,Integrate risk assessment into supplier evaluation template.,5/17/2022,5/7/2022,Closed
AUD-00038,SPLR-010,11/27/2022,IATF 16949,9.3,Non-conformance,Minor,Traceability records incomplete for critical components.,Yes,Expand audit scope and ensure full coverage.,12/27/2022,12/24/2022,Closed
AUD-00039,SPLR-006,1/27/2024,ISO 9001:2015,7.1,Observation,Minor,Control of non-conforming product is not effectively implemented.,Yes,Revise and train staff on procedure adherence.,3/16/2024,3/29/2024,Closed
AUD-00040,SPLR-031,5/27/2023,ISO 9001:2015,6.2,Non-conformance,Minor,Internal audit scope does not cover all processes.,Yes,Enhance traceability documentation for all lot numbers.,8/4/2023,8/3/2023,Closed
AUD-00041,SPLR-035,4/24/2024,ISO 9001:2015,5.1,Non-conformance,Minor,Preventive maintenance schedule not adhered to.,Yes,Enhance traceability documentation for all lot numbers.,7/14/2024,7/19/2024,Closed
AUD-00042,SPLR-045,2/23/2024,ISO 9001:2015,10.2,Observation,Minor,Customer complaint process not well-defined in procedure.,Yes,Conduct training sessions and maintain attendance logs.,4/5/2024,4/24/2024,Closed
AUD-00043,SPLR-009,4/2/2023,ISO 9001:2015,9.1,Observation,Major,Inadequate training records for new operators.,Yes,Enhance traceability documentation for all lot numbers.,5/23/2023,5/30/2023,Closed
AUD-00044,SPLR-023,11/9/2024,IATF 16949,9.3,Observation,Minor,Preventive maintenance schedule not adhered to.,Yes,Revise and train staff on procedure adherence.,12/16/2024,12/22/2024,Closed
AUD-00045,SPLR-015,8/11/2022,IATF 16949,7.3,Observation,Minor,Preventive maintenance schedule not adhered to.,Yes,Enhance traceability documentation for all lot numbers.,10/18/2022,11/9/2022,Closed
AUD-00046,SPLR-088,6/6/2023,ISO 9001:2015,9.2,Non-conformance,Major,Traceability records incomplete for critical components.,Yes,Revise and train staff on procedure adherence.,8/8/2023,9/1/2023,Closed
AUD-00047,SPLR-093,6/2/2024,ISO 9001:2015,9.1,Observation,Major,Preventive maintenance schedule not adhered to.,Yes,Document action items and track their closure status.,7/22/2024,7/19/2024,Closed
AUD-00048,SPLR-054,4/16/2024,IATF 16949,8.1,Observation,Minor,Supplier evaluation process missing risk assessment steps.,Yes,Expand audit scope and ensure full coverage.,5/24/2024,5/26/2024,Closed
AUD-00049,SPLR-027,3/11/2025,IATF 16949,8.1,Observation,Major,Internal audit scope does not cover all processes.,Yes,Revise and train staff on procedure adherence.,4/29/2025,5/7/2025,Closed
AUD-00050,SPLR-085,8/10/2024,IATF 16949,8.3,Non-conformance,Major,Inadequate training records for new operators.,Yes,Expand audit scope and ensure full coverage.,10/9/2024,10/9/2024,Closed
AUD-00051,SPLR-019,11/21/2024,IATF 16949,4.3,Non-conformance,Minor,Inadequate training records for new operators.,Yes,Integrate risk assessment into supplier evaluation template.,1/4/2025,1/6/2025,Closed
AUD-00052,SPLR-074,5/17/2023,IATF 16949,10.2,Non-conformance,Major,Lack of evidence for calibration records of measuring equipment.,Yes,Define and communicate complaint handling procedure.,7/12/2023,8/11/2023,Closed
AUD-00053,SPLR-100,10/9/2024,IATF 16949,6.2,Observation,Minor,Control of non-conforming product is not effectively implemented.,Yes,Revise and train staff on procedure adherence.,1/4/2025,12/31/2024,Closed
AUD-00054,SPLR-059,12/27/2022,IATF 16949,4.2,Non-conformance,Major,Internal audit scope does not cover all processes.,Yes,Conduct training sessions and maintain attendance logs.,3/25/2023,3/22/2023,Closed
AUD-00055,SPLR-058,12/23/2024,IATF 16949,8.3,Non-conformance,Major,Management review records lack evidence of action tracking.,Yes,Expand audit scope and ensure full coverage.,2/18/2025,3/15/2025,Closed
AUD-00056,SPLR-031,7/10/2024,IATF 16949,6.2,Observation,Major,Supplier evaluation process missing risk assessment steps.,Yes,Expand audit scope and ensure full coverage.,9/9/2024,10/9/2024,Closed
AUD-00057,SPLR-011,6/8/2022,IATF 16949,6.2,Non-conformance,Minor,Supplier evaluation process missing risk assessment steps.,Yes,Develop and follow a strict maintenance timetable.,7/28/2022,8/21/2022,Closed
AUD-00058,SPLR-043,4/19/2023,IATF 16949,5.2,Observation,Major,Inadequate training records for new operators.,Yes,Update calibration records and schedule preventive calibration.,6/14/2023,6/30/2023,Closed
AUD-00059,SPLR-090,5/8/2022,ISO 9001:2015,10.2,Non-conformance,Major,Traceability records incomplete for critical components.,Yes,Enhance traceability documentation for all lot numbers.,8/3/2022,8/30/2022,Closed
AUD-00060,SPLR-069,9/3/2024,ISO 9001:2015,6.2,Non-conformance,Major,Supplier evaluation process missing risk assessment steps.,Yes,Enhance traceability documentation for all lot numbers.,11/26/2024,12/12/2024,Closed
AUD-00061,SPLR-086,3/26/2023,IATF 16949,8.2,Observation,Minor,Customer complaint process not well-defined in procedure.,Yes,Revise and train staff on procedure adherence.,5/19/2023,5/30/2023,Closed
AUD-00062,SPLR-076,8/15/2024,ISO 9001:2015,8.2,Non-conformance,Minor,Internal audit scope does not cover all processes.,Yes,Revise and train staff on procedure adherence.,11/11/2024,11/26/2024,Closed
AUD-00063,SPLR-049,5/27/2024,ISO 9001:2015,10.2,Observation,Minor,Customer complaint process not well-defined in procedure.,Yes,Implement formal non-conformance containment measures.,6/29/2024,7/5/2024,Closed
AUD-00064,SPLR-033,7/20/2024,IATF 16949,7.2,Non-conformance,Major,Traceability records incomplete for critical components.,Yes,Integrate risk assessment into supplier evaluation template.,10/6/2024,10/22/2024,Closed
AUD-00065,SPLR-097,2/9/2022,ISO 9001:2015,6.2,Non-conformance,Minor,Inadequate training records for new operators.,Yes,Update calibration records and schedule preventive calibration.,4/29/2022,4/21/2022,Closed
AUD-00066,SPLR-086,2/13/2023,ISO 9001:2015,8.2,Non-conformance,Minor,Control of non-conforming product is not effectively implemented.,Yes,Conduct training sessions and maintain attendance logs.,3/23/2023,4/12/2023,Closed
AUD-00067,SPLR-100,8/10/2024,IATF 16949,7.3,Non-conformance,Major,Control of non-conforming product is not effectively implemented.,Yes,Document action items and track their closure status.,10/17/2024,10/14/2024,Closed
AUD-00068,SPLR-010,8/10/2022,ISO 9001:2015,6.1,Non-conformance,Minor,Management review records lack evidence of action tracking.,Yes,Enhance traceability documentation for all lot numbers.,10/4/2022,10/6/2022,Closed
AUD-00069,SPLR-055,9/10/2023,ISO 9001:2015,10.1,Observation,Minor,Management review records lack evidence of action tracking.,Yes,Revise and train staff on procedure adherence.,11/1/2023,11/25/2023,Closed
AUD-00070,SPLR-047,11/2/2024,IATF 16949,4.1,Observation,Minor,Traceability records incomplete for critical components.,Yes,Define and communicate complaint handling procedure.,12/8/2024,12/25/2024,Closed
AUD-00071,SPLR-100,6/10/2024,ISO 9001:2015,9.2,Observation,Major,Internal audit scope does not cover all processes.,Yes,Integrate risk assessment into supplier evaluation template.,8/18/2024,9/11/2024,Closed
AUD-00072,SPLR-032,6/11/2024,IATF 16949,7.2,Observation,Major,Inadequate training records for new operators.,Yes,Update calibration records and schedule preventive calibration.,7/28/2024,8/15/2024,Closed
AUD-00073,SPLR-046,11/20/2023,ISO 9001:2015,7.2,Observation,Major,Preventive maintenance schedule not adhered to.,Yes,Implement formal non-conformance containment measures.,1/20/2024,1/23/2024,Closed
AUD-00074,SPLR-011,7/27/2023,IATF 16949,9.3,Non-conformance,Major,Documented procedure not followed during batch production.,Yes,Expand audit scope and ensure full coverage.,10/25/2023,10/27/2023,Closed
AUD-00075,SPLR-012,9/27/2024,ISO 9001:2015,9.2,Observation,Minor,Customer complaint process not well-defined in procedure.,Yes,Define and communicate complaint handling procedure.,11/24/2024,11/15/2024,Closed
AUD-00076,SPLR-068,4/8/2024,ISO 9001:2015,6.1,Observation,Major,Management review records lack evidence of action tracking.,Yes,Develop and follow a strict maintenance timetable.,6/7/2024,7/2/2024,Closed
AUD-00077,SPLR-030,2/1/2025,IATF 16949,7.3,Non-conformance,Minor,Customer complaint process not well-defined in procedure.,Yes,Integrate risk assessment into supplier evaluation template.,3/22/2025,3/28/2025,Closed
AUD-00078,SPLR-095,10/9/2023,ISO 9001:2015,9.2,Observation,Major,Internal audit scope does not cover all processes.,Yes,Implement formal non-conformance containment measures.,11/20/2023,11/23/2023,Closed
AUD-00079,SPLR-023,4/22/2025,IATF 16949,5.1,Observation,Minor,Inadequate training records for new operators.,Yes,Integrate risk assessment into supplier evaluation template.,6/5/2025,6/18/2025,Open
AUD-00080,SPLR-090,12/29/2024,ISO 9001:2015,6.1,Non-conformance,Major,Documented procedure not followed during batch production.,Yes,Revise and train staff on procedure adherence.,3/4/2025,3/12/2025,Closed
AUD-00081,SPLR-044,7/30/2022,ISO 9001:2015,8.2,Non-conformance,Minor,Supplier evaluation process missing risk assessment steps.,Yes,Define and communicate complaint handling procedure.,9/28/2022,10/16/2022,Closed
AUD-00082,SPLR-074,6/2/2023,IATF 16949,5.1,Non-conformance,Minor,Lack of evidence for calibration records of measuring equipment.,Yes,Enhance traceability documentation for all lot numbers.,8/2/2023,7/27/2023,Closed
AUD-00083,SPLR-078,11/2/2022,IATF 16949,4.3,Non-conformance,Major,Inadequate training records for new operators.,Yes,Update calibration records and schedule preventive calibration.,1/6/2023,1/22/2023,Closed
AUD-00084,SPLR-080,7/11/2024,IATF 16949,7.1,Non-conformance,Minor,Management review records lack evidence of action tracking.,Yes,Enhance traceability documentation for all lot numbers.,8/29/2024,9/24/2024,Closed
AUD-00085,SPLR-071,3/2/2023,ISO 9001:2015,6.1,Non-conformance,Minor,Lack of evidence for calibration records of measuring equipment.,Yes,Implement formal non-conformance containment measures.,4/16/2023,4/17/2023,Closed
AUD-00086,SPLR-030,1/6/2022,IATF 16949,8.3,Observation,Major,Management review records lack evidence of action tracking.,Yes,Define and communicate complaint handling procedure.,2/23/2022,2/15/2022,Closed
AUD-00087,SPLR-076,7/18/2024,ISO 9001:2015,9.1,Non-conformance,Major,Inadequate training records for new operators.,Yes,Integrate risk assessment into supplier evaluation template.,10/6/2024,11/5/2024,Closed
AUD-00088,SPLR-010,8/24/2022,ISO 9001:2015,9.1,Non-conformance,Minor,Control of non-conforming product is not effectively implemented.,Yes,Integrate risk assessment into supplier evaluation template.,11/14/2022,11/13/2022,Closed
AUD-00089,SPLR-090,9/22/2023,IATF 16949,8.3,Observation,Major,Lack of evidence for calibration records of measuring equipment.,Yes,Define and communicate complaint handling procedure.,12/5/2023,12/14/2023,Closed
AUD-00090,SPLR-095,10/21/2024,IATF 16949,8.3,Observation,Major,Lack of evidence for calibration records of measuring equipment.,Yes,Document action items and track their closure status.,11/22/2024,12/9/2024,Closed
AUD-00091,SPLR-098,2/22/2022,ISO 9001:2015,5.2,Observation,Minor,Management review records lack evidence of action tracking.,Yes,Document action items and track their closure status.,5/23/2022,5/14/2022,Closed
AUD-00092,SPLR-056,12/25/2022,IATF 16949,9.2,Observation,Minor,Customer complaint process not well-defined in procedure.,Yes,Integrate risk assessment into supplier evaluation template.,2/4/2023,3/3/2023,Closed
AUD-00093,SPLR-021,8/20/2024,IATF 16949,8.2,Observation,Major,Preventive maintenance schedule not adhered to.,Yes,Develop and follow a strict maintenance timetable.,10/31/2024,10/27/2024,Closed
AUD-00094,SPLR-041,10/11/2024,IATF 16949,8.1,Observation,Major,Internal audit scope does not cover all processes.,Yes,Revise and train staff on procedure adherence.,12/9/2024,12/4/2024,Closed
AUD-00095,SPLR-007,8/26/2022,IATF 16949,9.2,Non-conformance,Major,Documented procedure not followed during batch production.,Yes,Expand audit scope and ensure full coverage.,10/24/2022,11/9/2022,Closed
AUD-00096,SPLR-037,10/17/2024,IATF 16949,4.2,Observation,Major,Inadequate training records for new operators.,Yes,Integrate risk assessment into supplier evaluation template.,12/21/2024,12/19/2024,Closed
