supplier_id,category,year_month,defect_rate_ppm,rework_percentage,ncr_count
SPLR-001,Tier 3,2022-05,1183.68,24.31,1
SPLR-002,Tier 1,2022-05,1037.51,23.83,0
SPLR-003,Tier 2,2022-05,1138.11,30.05,1
SPLR-004,Tier 2,2022-05,974.62,22.37,0
SPLR-005,Tier 3,2022-05,1130.53,15.43,0
SPLR-006,Tier 3,2022-05,1253.94,17.38,0
SPLR-007,Tier 3,2022-05,918.78,17.94,0
SPLR-008,Tier 1,2022-05,966.12,27.99,2
SPLR-009,Tier 2,2022-05,879.39,26.88,0
SPLR-010,Tier 1,2022-05,971.22,29.74,0
SPLR-011,Tier 2,2022-05,970.97,34.26,0
SPLR-012,Tier 3,2022-05,982.96,24.97,1
SPLR-013,Tier 1,2022-05,861.48,30.46,2
SPLR-014,Tier 1,2022-05,1236.43,25.86,0
SPLR-015,Tier 3,2022-05,902.19,17.08,0
SPLR-016,Tier 3,2022-05,995.98,30.29,0
SPLR-017,Tier 2,2022-05,882.64,25.67,1
SPLR-018,Tier 3,2022-05,1202.05,29.44,1
SPLR-019,Tier 3,2022-05,1042.57,21.88,0
SPLR-020,Tier 1,2022-05,1148.88,29.88,1
SPLR-021,Tier 3,2022-05,886.5,19.02,1
SPLR-022,Tier 3,2022-05,1068.29,30.02,0
SPLR-023,Tier 2,2022-05,1289.84,28.98,2
SPLR-024,Tier 1,2022-05,674.76,29.11,0
SPLR-025,Tier 3,2022-05,837.94,30.21,0
SPLR-026,Tier 2,2022-05,1040.22,26.79,1
SPLR-027,Tier 1,2022-05,935.42,22.49,5
SPLR-028,Tier 1,2022-05,1101.37,29.84,3
SPLR-029,Tier 3,2022-05,1008.37,17.68,2
SPLR-030,Tier 3,2022-05,670.46,26.73,0
SPLR-031,Tier 3,2022-05,1017.39,20.99,1
SPLR-032,Tier 3,2022-05,1520.75,25.87,0
SPLR-033,Tier 3,2022-05,1078.64,16.63,0
SPLR-034,Tier 3,2022-05,1094.08,37.32,0
SPLR-035,Tier 2,2022-05,1179.64,23.7,0
SPLR-036,Tier 3,2022-05,1075.5,19.16,1
SPLR-037,Tier 3,2022-05,1329.96,28.76,0
SPLR-038,Tier 3,2022-05,936.55,31.92,1
SPLR-039,Tier 3,2022-05,923.33,25.38,1
SPLR-040,Tier 3,2022-05,1472.29,29.37,0
SPLR-041,Tier 3,2022-05,818.24,25.34,1
SPLR-042,Tier 1,2022-05,916.9,32.75,1
SPLR-043,Tier 2,2022-05,939.69,23.39,2
SPLR-044,Tier 2,2022-05,1306.43,27.63,1
SPLR-045,Tier 1,2022-05,1020.74,23.97,4
SPLR-046,Tier 2,2022-05,1189.08,26.48,3
SPLR-047,Tier 1,2022-05,1141.0,21.43,0
SPLR-048,Tier 2,2022-05,1116.92,18.92,2
SPLR-049,Tier 3,2022-05,907.8,28.94,0
SPLR-050,Tier 2,2022-05,1243.47,31.34,2
SPLR-051,Tier 2,2022-05,1035.41,21.23,0
SPLR-052,Tier 2,2022-05,1268.09,23.8,2
SPLR-053,Tier 2,2022-05,1031.82,38.6,0
SPLR-054,Tier 3,2022-05,909.72,29.89,0
SPLR-055,Tier 3,2022-05,892.19,27.41,3
SPLR-056,Tier 3,2022-05,1178.68,24.64,2
SPLR-057,Tier 1,2022-05,1306.84,23.29,1
SPLR-058,Tier 3,2022-05,1230.12,25.46,1
SPLR-059,Tier 1,2022-05,1128.29,20.96,2
