supplier_id,year_month,on_time_delivery_pct,promised_lead_time_days,actual_lead_time_days,schedule_deviation_days
SPLR-001,2022-05,89.77,30,25,-5
SPLR-002,2022-05,93.88,30,27,-3
SPLR-003,2022-05,87.28,30,29,-1
SPLR-004,2022-05,88.08,30,29,-1
SPLR-005,2022-05,91.38,30,32,2
SPLR-006,2022-05,91.63,30,29,-1
SPLR-007,2022-05,90.1,30,31,1
SPLR-008,2022-05,86.48,30,31,1
SPLR-009,2022-05,87.09,30,36,6
SPLR-010,2022-05,89.19,30,29,-1
SPLR-011,2022-05,88.46,30,28,-2
SPLR-012,2022-05,94.55,30,32,2
SPLR-013,2022-05,86.9,30,34,4
SPLR-014,2022-05,92.39,30,29,-1
SPLR-015,2022-05,90.61,30,29,-1
SPLR-016,2022-05,93.95,30,27,-3
SPLR-017,2022-05,90.29,30,28,-2
SPLR-018,2022-05,87.13,30,36,6
SPLR-019,2022-05,87.64,30,30,0
SPLR-020,2022-05,86.52,30,28,-2
SPLR-021,2022-05,90.84,30,27,-3
SPLR-022,2022-05,91.17,30,29,-1
SPLR-023,2022-05,92.32,30,34,4
SPLR-024,2022-05,88.83,30,30,0
SPLR-025,2022-05,90.37,30,31,1
SPLR-026,2022-05,90.03,30,30,0
SPLR-027,2022-05,89.51,30,30,0
SPLR-028,2022-05,92.6,30,31,1
SPLR-029,2022-05,91.4,30,32,2
SPLR-030,2022-05,89.69,30,30,0
SPLR-031,2022-05,87.83,30,33,3
SPLR-032,2022-05,84.43,30,29,-1
SPLR-033,2022-05,92.28,30,25,-5
SPLR-034,2022-05,90.8,30,27,-3
SPLR-035,2022-05,89.26,30,32,2
SPLR-036,2022-05,90.4,30,23,-7
SPLR-037,2022-05,88.05,30,32,2
SPLR-038,2022-05,90.9,30,35,5
SPLR-039,2022-05,93.37,30,28,-2
SPLR-040,2022-05,95.01,30,30,0
SPLR-041,2022-05,88.07,30,28,-2
SPLR-042,2022-05,85.49,30,34,4
SPLR-043,2022-05,93.19,30,26,-4
SPLR-044,2022-05,89.54,30,30,0
SPLR-045,2022-05,88.08,30,24,-6
SPLR-046,2022-05,89.58,30,29,-1
SPLR-047,2022-05,89.22,30,30,0
SPLR-048,2022-05,92.86,30,29,-1
SPLR-049,2022-05,90.34,30,32,2
SPLR-050,2022-05,91.11,30,28,-2
SPLR-051,2022-05,90.19,30,31,1
SPLR-052,2022-05,87.74,30,33,3
SPLR-053,2022-05,92.86,30,27,-3
SPLR-054,2022-05,90.39,30,31,1
